Source,Target,Weight
37,42,10.12
37,41,10.05
37,31,9.17
37,15,9.14
37,25,8.39
37,38,7.44
37,29,7.37
37,33,7.19
37,14,7.12
37,19,6.41
37,11,5.69
37,2,5.64
37,8,5.33
37,18,5.23
37,6,4.93
37,3,4.79
37,23,4.47
37,17,3.92
37,22,3.62
37,40,3.61
37,24,3.50
37,4,3.10
37,39,2.71
37,30,2.70
37,35,2.44
37,34,2.44
37,21,2.33
37,32,2.07
37,28,1.54
38,41,11.95
38,42,11.24
38,14,10.77
38,15,10.77
38,25,10.23
38,17,9.76
38,4,9.48
38,9,9.28
38,18,9.26
38,33,9.17
38,40,9.16
38,21,8.93
38,29,8.80
38,3,8.59
38,23,8.51
38,6,8.19
38,24,7.89
38,8,7.82
38,22,7.69
38,19,7.56
38,34,7.52
38,37,7.44
38,30,7.43
38,11,7.41
38,35,7.19
38,32,7.12
38,2,7.08
38,28,6.63
38,39,6.53
38,12,5.90
38,31,5.25
39,18,10.53
39,33,9.83
39,42,8.82
39,41,8.46
39,9,8.45
39,22,8.44
39,11,7.64
39,14,7.40
39,38,6.96
39,29,6.85
39,2,6.59
39,8,6.07
39,25,6.07
39,6,6.04
39,35,6.03
39,19,5.78
39,15,5.38
39,4,5.03
39,31,4.69
39,23,3.60
39,34,3.55
39,30,3.34
39,12,3.20
39,17,3.16
39,37,2.93
39,40,2.86
39,3,2.37
39,32,1.97
39,24,1.73
39,28,1.66
39,21,-0.28
41,42,13.59
41,15,12.54
41,14,12.36
41,38,12.26
41,19,12.24
41,29,12.18
41,9,12.09
41,23,11.96
41,22,11.62
41,25,11.48
41,18,11.35
41,11,11.27
41,2,11.24
41,8,11.03
41,33,10.99
41,17,10.58
41,40,10.49
41,37,10.22
41,4,10.18
41,31,10.13
41,34,9.72
41,12,9.68
41,32,9.61
41,6,9.49
41,39,9.28
41,35,9.17
41,3,8.88
41,30,8.53
41,21,8.49
41,24,7.97
41,28,6.64
42,9,13.72
42,41,13.62
42,22,11.84
42,8,11.77
42,11,11.49
42,14,11.30
42,18,11.21
42,15,11.08
42,4,10.68
42,19,10.66
42,29,10.59
42,33,10.39
42,39,10.32
42,38,10.19
42,25,10.17
42,6,10.16
42,2,10.08
42,35,9.87
42,23,9.48
42,37,9.28
42,40,9.21
42,21,9.19
42,12,8.28
42,34,8.15
42,24,7.86
42,3,7.67
42,32,7.60
42,31,7.04
42,30,6.97
42,28,6.62
