id,label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
18,Hong Kong,,0.0,0.0,0.0,0.0,0.19925733,0.0,4,0.03143505043752782,0,13,0.6818181872367859,1.0
19,Ireland,,1.0,1.0,1.0,21.487592962592974,0.18447411,0.22813307,2,0.03270589955528704,0,15,0.42417415976524353,0.9380099059683517
20,Isle of Man,,1.0,1.0,1.0,0.0,0.0,0.23587672,3,0.01219997270705133,0,21,0.4818548262119293,0.0
21,Israel,,0.0,0.0,0.0,0.0,0.16086671,0.0,3,0.022679482665119963,0,3,0.6797385811805725,0.7829181502971713
22,Japan,,0.0,0.0,0.0,0.0,0.19490616,0.0,4,0.03120711809644279,0,11,0.6660078763961792,1.0
23,Jersey,,1.0,1.0,1.0,1.9946053946053945,0.13784973,0.23009022,3,0.023991207994206527,0,15,0.469696968793869,0.7683599739802724
24,Jordan,,0.0,0.0,0.0,0.0,0.14132099,0.0,3,0.018308868386601257,0,4,0.8571428656578064,0.7709898459880261
25,Luxembourg,,1.0,1.0,1.0,6.820926295926297,0.1827984,0.22820342,3,0.03220597442110462,0,15,0.4452380836009979,0.9375227689966791
26,Macao,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01219997270705133,1,22,0.0,0.0
27,Mexico,,2.0,0.8648648648648649,0.921875,0.0,0.0,0.20669986,4,0.01219997270705133,0,23,0.554131031036377,0.0
28,Morocco,,0.0,0.0,0.0,0.0,0.13015611,0.0,3,0.017072666940495106,0,0,0.7637362480163574,0.6614032252580739
29,Netherlands,,2.0,0.8378378378378378,0.9032258064516129,4.082989232989233,0.19127643,0.19012487,4,0.0321405065589043,0,15,0.5258064270019531,0.9380099059683517
30,New Zealand,,0.0,0.0,0.0,0.0,0.15602158,0.0,3,0.019612085289662247,0,6,0.7352941036224365,0.7723094064239769
31,Norway,,0.0,0.0,0.0,0.0,0.1932334,0.0,2,0.02617212644461874,0,8,0.7229437232017517,0.9993402197820246
32,Qatar,,0.0,0.0,0.0,0.0,0.1327091,0.0,3,0.01924210792342582,0,2,0.8516483306884766,0.7129572186628286
33,Singapore,,0.0,0.0,0.0,0.0,0.19925733,0.0,4,0.03318823030072263,0,9,0.6818181872367859,1.0
34,South Africa,,2.0,0.8857142857142857,0.9354838709677419,3.084213009213009,0.17807917,0.20515686,3,0.02320729468632342,0,15,0.49715909361839294,0.8791448551788767
35,South Korea,,2.0,0.8857142857142857,0.9354838709677419,3.840986790986791,0.16819404,0.20432408,4,0.02333914059826952,0,15,0.47727271914482117,0.7875353972215979
36,Spain,,0.0,0.0,0.0,0.0,0.0,0.0,1,0.01219997270705133,2,24,0.0,0.0
37,Sweden,,2.0,0.7560975609756098,0.8387096774193549,7.756260406260406,0.1874517,0.16523248,2,0.028733341711068804,0,15,0.5050403475761414,0.8801191291222213
38,Switzerland,,1.0,1.0,1.0,7.907251082251083,0.18969023,0.22791411,3,0.034520251407531684,0,15,0.43618619441986084,0.9380099059683517
39,Taiwan,,1.0,1.0,1.0,6.0635780885780886,0.17591174,0.2284925,4,0.0235249793468109,0,15,0.4376876950263977,0.8420483468854252
40,UAE,,0.0,0.0,0.0,0.0,0.17757855,0.0,3,0.02364753775286611,0,12,0.7052631378173828,0.8935098377377038
41,UK,,1.0,1.0,1.0,7.907251082251083,0.18969023,0.22791411,3,0.03953643854121763,0,15,0.43618619441986084,0.9380099059683517
42,US,,2.0,0.96875,0.9838709677419355,5.955735930735932,0.18390176,0.22230484,4,0.03779774612042964,0,15,0.4476190507411957,0.9375227689966791
